243540    287628    375936
250008    304260    407748
256344    326436    439560
269148    348480    471372
275616    370656    503316
314160    414876    567072
320364    437052    598752
333300    459228    630828
339768    481272    662508
352440    503448    694452
358908    519816    726264
262812    315348    420420
269148    337392    452232
282084    359568    484308
288420    381744    516120
294756    403920    547932
339768    453552    618024
345972    475728    649836
358908    492360    681780
365244    514404    713460
378180    536580    751740
384516    558756    783552
282084    342936    458700
288420    365112    490512
301224    387288    528792
307560    409332    560604
320364    431508    592548
365244    486816    662508
371712    508992    700788
384516    531036    732732
390984    553080    764412
403656    575256    802692
410124    597432    834636
301224    376068    496980
307560    398244    535260
326832    428868    578424
339900    460284    629508
353232    483252    662508
398772    530376    727716
405240    552948    760320
418308    581064    799260
425040    603768    831732
437976    626340    870804
444444    648912    903276
320364    403920    541596
333300    425964    573408
346500    456984    623832
366564    488928    675840
377520    507804    695376
425040    569844    779724
431376    592416    812328
444444    614988    851400
450912    637560    883740
464112    660132    922680
470580    688380    961752
339768    431508    579876
352440    453552    618024
366168    490908    669240
379104    513480    701976
393360    546480    755304
444444    603768    825264
457776    626340    864336
470580    654588    903276
477312    676896    935748
490380    699600    974688
496848    722172    1013760
358908    464640    624228
371712    486816    662508
385704    519024    708312
398772    547272    747384
411840    569844    786324
479952    650232    894432
483648    665808    916212
496848    688380    955284
503184    716496    994356
516384    739200    1026696
522984    761640    1065636
378180    492360    662508
390984    514404    700788
411840    552948    753852
418308    575652    792792
439824    615648    848100
506616    690360    947364
509916    699600    968220
522984    727848    1007160
529584    750288    1046232
542520    778536    1078836
549120    801240    1117644
403656    519816    707256
410124    547668    745404
431376    581064    799260
444444    609444    838332
450912    631884    877140
522984    710952    974688
546480    753720    1033560
542520    761640    1059300
555720    789888    1098372
568656    812460    1137180
575256    840576    1176252
422796    547668    745404
429528    575256    783552
450912    614988    844800
464112    637560    883740
479952    678876    940896
549120    750288    1026696
562188    773124    1065636
568656    801240    1104576
581856    823680    1150248
594924    851928    1189188
607992    880176    1228260
442200    580932    790020
448668    602976    828168
470580    643236    883740
493020    684552    947364
506616    713460    987096
575256    784344    1078836
588192    812460    1117644
606672    851400    1179288
607992    863280    1202256
620928    891396    1241196
633996    919776    1280268
461340    608520    828168
474144    636240    872916
490380    676896    929148
513084    719136    987096
516384    727848    1013760
601260    818136    1124112
614460    846252    1169652
620928    874500    1208592
633996    902748    1254132
647196    930864    1293072
660264    953568    1338612
480612    636240    872916
493416    663696    910932
516384    705276    974688
522984    733524    1013760
535920    761640    1059300
627528    857472    1176252
633996    885720    1221792
647196    908424    1260600
660264    936672    1306140
673332    964788    1345080
686400    992904    1390620
499884    669372    910932
512688    696828    955548
525492    724680    993828
538296    752268    1038576
544764    779988    1082928
640860    873840    1204104
647328    901692    1242384
660000    929280    1286868
673068    957000    1331616
685740    984456    1369764
698544    1012308    1414248
602316    768900    1031976
615252    796488    1076724
628056    824076    1121208
640860    851796    1165824
653664    879516    1210440
660000    907104    1248720
673068    934956    1293336
685740    967956    1337820
698544    995676    1382568
711348    1023396    1426920
724152    1050852    1465200
628056    802164    1076724
640860    829752    1121208
653664    857340    1165824
666468    885060    1210440
673068    918192    1255056
685740    945912    1299672
698544    973500    1344288
711348    1001088    1388772
724152    1028808    1433520
736956    1056528    1478004
749892    1089792    1522620
653664    835296    1127676
660000    863016    1165824
673068    890472    1210440
685740    912780    1248720
698544    940368    1293336
704880    967956    1331616
717684    995676    1369764
730620    1023396    1414248
743424    1045440    1452528
756228    1073028    1497144
762564    1100748    1535424
673068    868428    1172160
685740    896016    1210440
698544    918192    1248720
704880    940368    1286868
717684    967956    1325148
730620    990132    1363296
736956    1017720    1401576
749892    1040028    1439724
756228    1067484    1478004
768900    1089792    1516284
781704    1117380    1554564
698544    901692    1223244
711348    923736    1255056
717684    945912    1293336
730620    967956    1325148
736956    995676    1356960
749892    1017720    1395240
756228    1040028    1426920
768900    1062072    1465200
775500    1084116    1497144
788304    1106292    1535424
794640    1128336    1567236
724152    934956    1267728
730620    957000    1299672
743424    979176    1331616
749892    995676    1363296
756228    1017720    1395240
768900    1040028    1426920
775500    1062072    1458996
788304    1078704    1490676
794640    1100748    1522620
801108    1122924    1554564
813912    1139556    1579908
749892    973500    1312344
756228    990132    1344288
762564    1006764    1369764
768900    1028808    1401576
781704    1045440    1426920
788304    1062072    1458996
794640    1084116    1484472
801108    1100748    1516284
813912    1117380    1541628
820248    1139556    1567236
826716    1156188    1599048
775500    1006764    1363296
781704    1023396    1388772
788304    1040028    1414248
794640    1056528    1439724
801108    1073028    1465200
807444    1089792    1490676
813912    1100748    1516284
820248    1117380    1535424
826716    1134012    1560768
833052    1150512    1586376
839520    1167144    1611720
794640    1040028    1407912
801108    1050852    1433520
807444    1067484    1452528
813912    1084116    1478004
820248    1095072    1497144
826716    1111836    1516284
833052    1122924    1541628
839520    1139556    1560768
845988    1156188    1586376
852324    1167144    1605516
858792    1183776    1630860
820248    1073028    1458996
826716    1084116    1478004
833052    1095072    1497144
839520    1111836    1509816
839520    1122924    1528956
845988    1134012    1548096
852324    1144836    1567236
858792    1161468    1586376
865128    1172688    1605516
871596    1183776    1624524
871596    1194600    1643664
845988    1106292    1503480
852324    1117380    1516284
852324    1128336    1535424
858792    1139556    1548096
865128    1150512    1567236
865128    1156188    1579908
871596    1167144    1599048
878064    1178100    1611720
878064    1189320    1630860
884268    1200408    1643664
890868    1211364    1662804
871596    1139556    1548096
871596    1150512    1560768
878064    1156188    1573440
878064    1167144    1586376
884268    1172688    1599048
890868    1183776    1611720
890868    1189320    1624524
897204    1200408    1637328
897204    1205820    1650000
903540    1216908    1662804
903540    1222320    1675476
